item_id,store_name,item_name,genre,calorite,,,,,,,,,
1,セブンイレブン,北海道産そば粉使用　かしわそば（太切そば）,麺類,425,,,,,,,,,
2,セブンイレブン,冷しぶっかけとろろそば　静岡県産わさび付,麺類,348,,,,,,,,,
3,セブンイレブン,石臼挽そば粉のざるそば　静岡県産わさび付,麺類,340,,,,,,,,,
4,セブンイレブン,ちくわ磯辺天半熟玉子天の冷しぶっかけうどん,麺類,657,,,,,,,,,
5,セブンイレブン,ツルッとのど越し　冷しぶっかけうどん,麺類,505,,,,,,,,,
6,セブンイレブン,冷しぶっかけわかめそば,麺類,300,,,,,,,,,
7,セブンイレブン,鰹出汁の旨味引き立つ　かき揚げそば,麺類,445,,,,,,,,,
8,セブンイレブン,紅生姜天そば,麺類,459,,,,,,,,,
9,セブンイレブン,コク旨ごまだれ　豚しゃぶうどん,麺類,713,,,,,,,,,
10,セブンイレブン,自家製揚げ玉の冷したぬきうどん,麺類,565,,,,,,,,,
11,セブンイレブン,たぬきうどん　上州地粉使用麺,麺類,460,,,,,,,,,
12,セブンイレブン,埼玉県産小麦使用　　　肉汁うどん,麺類,672,,,,,,,,,
13,セブンイレブン,ツルッとのど越しミニ冷し中華,麺類,309,,,,,,,,,
14,セブンイレブン,ツルッとのど越し冷し中華,麺類,506,,,,,,,,,
15,セブンイレブン,町中華の冷し味噌ラーメン,麺類,516,,,,,,,,,
16,セブンイレブン,中華蕎麦とみ田監修　冷し豚まぜ麺,麺類,708,,,,,,,,,
17,セブンイレブン,半熟煮玉子の冷し醤油ラーメン,麺類,445,,,,,,,,,
18,セブンイレブン,冷たい八王子ラーメン,麺類,419,,,,,,,,,
19,セブンイレブン,ちゅるもち麺の醤油焼うどん,麺類,575,,,,,,,,,
20,セブンイレブン,玉子をのせた川越太　　麺焼そば,麺類,477,,,,,,,,,
21,セブンイレブン,ピリ辛豚モツ炒めｏｎ！　太麺ソース焼そば,麺類,708,,,,,,,,,
22,セブンイレブン,ツナとほうれん草のトマトソースパスタ,麺類,489,,,,,,,,,
23,セブンイレブン,肉の旨味とデミグラスのコク　ミートソース,麺類,533,,,,,,,,,
24,セブンイレブン,太麺仕立ての　昔なつかしナポリタン,麺類,508,,,,,,,,,
25,セブンイレブン,コクと旨味が広がる　ボンゴレスープパスタ,麺類,436,,,,,,,,,
26,セブンイレブン,やみつきガーリック　大盛ペペロンチーノ,麺類,863,,,,,,,,,
27,セブンイレブン,冷製パスタ　明太子と蒸し鶏と大葉,麺類,357,,,,,,,,,
28,セブンイレブン,冷製パスタ　海老のトマトクリーム,麺類,460,,,,,,,,,
29,セブンイレブン,生パスタ　卵黄のコク濃厚カルボナーラ,麺類,688,,,,,,,,,
30,セブンイレブン,生パスタ　ボロネーゼ,麺類,601,,,,,,,,,
31,セブンイレブン,豚しゃぶの和風パスタ　おろしポン酢,麺類,587,,,,,,,,,
32,セブンイレブン,海老と大葉のペペロンチーノ,麺類,487,,,,,,,,,
33,セブンイレブン,舞茸ときのこの和風パスタ,麺類,439,,,,,,,,,
34,セブンイレブン,千速と重悟の大盛ナポリタン,麺類,631,,,,,,,,,
35,セブンイレブン,ベーコン香る麺大盛ぺペロンチーノ,麺類,945,,,,,,,,,
36,セブンイレブン,明太マヨネーズ大盛パスタ　かねふく使用,麺類,667,,,,,,,,,
37,セブンイレブン,魚介の旨塩大盛パスタ,麺類,580,,,,,,,,,
38,セブンイレブン,冷製国産鶏レバー煮,サラダ,154,,,,,,,,,
39,セブンイレブン,彩り野菜のスイートピクルス,サラダ,60,,,,,,,,,
40,セブンイレブン,ツナたまごコーンのサラダ,サラダ,60,,,,,,,,,
41,セブンイレブン,１０種具材のミックスサラダ,サラダ,20,,,,,,,,,
42,セブンイレブン,ザクザクとした食感のうま塩レタスサラダ,サラダ,193,,,,,,,,,
43,セブンイレブン,三陸産わかめとサンチュのやみつきチョレギサラダ,サラダ,298,,,,,,,,,
44,セブンイレブン,甘辛鶏唐揚げのパスタサラダ,サラダ,407,,,,,,,,,
45,セブンイレブン,トマトとレタスのイタリアンサラダ,サラダ,172,,,,,,,,,
46,セブンイレブン,たんぱく質が摂れる鶏むね肉サラダ,サラダ,199,,,,,,,,,
47,セブンイレブン,豚しゃぶパスタサラダ,サラダ,422,,,,,,,,,
48,セブンイレブン,たんぱく質が摂れる２種カニカマと玉子のサラダ,サラダ,164,,,,,,,,,
49,セブンイレブン,梅おにぎり,おにぎり,166,,,,,,,,,
50,セブンイレブン,明太おにぎり,おにぎり,173,,,,,,,,,
51,セブンイレブン,ツナマヨおにぎり,おにぎり,258,,,,,,,,,
52,セブンイレブン,鮭おにぎり,おにぎり,174,,,,,,,,,
53,セブンイレブン,エビマヨネーズおにぎり,おにぎり,252,,,,,,,,,
54,セブンイレブン,昆布おにぎり,おにぎり,171,,,,,,,,,
55,セブンイレブン,鳥五目おにぎり,おにぎり,180,,,,,,,,,
56,セブンイレブン,牛カルビおにぎり,おにぎり,326,,,,,,,,,
57,セブンイレブン,チーズつくねおにぎり,おにぎり,401,,,,,,,,,
58,セブンイレブン,鳥そぼろおにぎり,おにぎり,325,,,,,,,,,
59,セブンイレブン,納豆巻,おにぎり,177,,,,,,,,,
60,セブンイレブン,すじこ巻,おにぎり,163,,,,,,,,,
61,セブンイレブン,いなり,おにぎり,204,,,,,,,,,
62,セブンイレブン,唐揚げ弁当,弁当,707,,,,,,,,,
63,セブンイレブン,焼肉弁当,弁当,652,,,,,,,,,
64,セブンイレブン,プルコギ弁当,弁当,615,,,,,,,,,
65,セブンイレブン,中華丼,弁当,498,,,,,,,,,
66,セブンイレブン,チキンオムライス,弁当,532,,,,,,,,,
67,セブンイレブン,親子丼,弁当,633,,,,,,,,,
68,セブンイレブン,牛丼,弁当,565,,,,,,,,,
69,セブンイレブン,ポークカレー,弁当,527,,,,,,,,,
70,セブンイレブン,エビグラタン,ドリア,384,,,,,,,,,
71,セブンイレブン,マカロニグラタン,ドリア,376,,,,,,,,,
72,セブンイレブン,ミートドリア,ドリア,463,,,,,,,,,
73,セブンイレブン,アスパラとベーコングラタン,ドリア,382,,,,,,,,,
74,セブンイレブン,チキンマカロニグラタン,ドリア,397,,,,,,,,,
75,セブンイレブン,エビとトマトのオムライスドリア,ドリア,450,,,,,,,,,
76,セブンイレブン,ハンバーグカレードリア,ドリア,614,,,,,,,,,
77,セブンイレブン,ケイジャンチキン,惣菜,336,,,,,,,,,
78,セブンイレブン,ゴーヤチャンプル,惣菜,208,,,,,,,,,
79,セブンイレブン,餃子,惣菜,380,,,,,,,,,
80,セブンイレブン,枝豆,惣菜,94,,,,,,,,,
81,セブンイレブン,和風スープ,惣菜,120,,,,,,,,,
82,セブンイレブン,豚汁,惣菜,182,,,,,,,,,
83,セブンイレブン,キムチ鍋,惣菜,247,,,,,,,,,
84,セブンイレブン,鶏のトマト煮,惣菜,161,,,,,,,,,
85,セブンイレブン,牛すき焼き,惣菜,199,,,,,,,,,
86,セブンイレブン,揚げ出し豆腐,惣菜,300,,,,,,,,,
87,セブンイレブン,茄子のみそ炒め,惣菜,259,,,,,,,,,
88,セブンイレブン,シュウマイ,惣菜,231,,,,,,,,,
89,セブンイレブン,醤油から揚げ,惣菜,346,,,,,,,,,
90,セブンイレブン,ロース生姜焼き,惣菜,185,,,,,,,,,
91,セブンイレブン,レバニラ,惣菜,349,,,,,,,,,
92,セブンイレブン,たこ焼き,惣菜,344,,,,,,,,,
93,セブンイレブン,焼き鳥5本入り,惣菜,391,,,,,,,,,
94,セブンイレブン,ワンタンスープ,惣菜,130,,,,,,,,,
95,セブンイレブン,すいとん,惣菜,218,,,,,,,,,
96,セブンイレブン,トマトスープ,惣菜,121,,,,,,,,,
97,セブンイレブン,ポトフ,惣菜,130,,,,,,,,,
98,セブンイレブン,肉じゃが,惣菜,189,,,,,,,,,
99,セブンイレブン,肉団子,惣菜,281,,,,,,,,,
100,セブンイレブン,西京焼き,惣菜,269,,,,,,,,,
101,セブンイレブン,筑前煮,惣菜,138,,,,,,,,,
102,セブンイレブン,おでん,惣菜,170,,,,,,,,,
103,セブンイレブン,トウモロコシのポタージュ,惣菜,166,,,,,,,,,
104,セブンイレブン,かぼちゃのポタージュ,惣菜,164,,,,,,,,,
105,セブンイレブン,サツマイモのポタージュ,惣菜,164,,,,,,,,,
106,セブンイレブン,キノコのクリームチャウダー,惣菜,128,,,,,,,,,
107,セブンイレブン,ひじき煮,惣菜,56,,,,,,,,,
108,セブンイレブン,きんぴらごぼう,惣菜,96,,,,,,,,,
109,セブンイレブン,切り干し大根,惣菜,42,,,,,,,,,
110,セブンイレブン,味付けとろろ,惣菜,48,,,,,,,,,
111,セブンイレブン,黒豆,惣菜,106,,,,,,,,,
112,セブンイレブン,ごま昆布,惣菜,57,,,,,,,,,
113,セブンイレブン,半熟卵煮二個,惣菜,75,,,,,,,,,
114,セブンイレブン,ゆで卵一個,惣菜,65,,,,,,,,,
115,セブンイレブン,厚焼き玉子焼き,惣菜,201,,,,,,,,,
116,セブンイレブン,キムチ,惣菜,55,,,,,,,,,
117,セブンイレブン,だし巻き玉子,惣菜,141,,,,,,,,,
118,セブンイレブン,福神付け,惣菜,107,,,,,,,,,
119,セブンイレブン,タルタルエビカツサンド,サンドイッチ,459,,,,,,,,,
120,セブンイレブン,彩野菜のバラエティサンド,サンドイッチ,371,,,,,,,,,
121,セブンイレブン,ホイップ＆チーズクリーム那須塩原産牛乳使用,サンドイッチ,364,,,,,,,,,
122,セブンイレブン,ラップデリ　生ハム＆モッツァレラ,サンドイッチ,254,,,,,,,,,
123,セブンイレブン,ミニロールたまごサラダ＆ハムチーズ,サンドイッチ,317,,,,,,,,,
124,セブンイレブン,ブリトーウインナー２本入りチリミート,サンドイッチ,304,,,,,,,,,
125,セブンイレブン,ジューシーハムサンド,サンドイッチ,355,,,,,,,,,
126,セブンイレブン,照焼チキンとたまごサンド,サンドイッチ,337,,,,,,,,,
127,セブンイレブン,ジューシーハムサンド,サンドイッチ,355,,,,,,,,,
128,セブンイレブン,照焼チキンとたまごサンド,サンドイッチ,337,,,,,,,,,
129,セブンイレブン,こだわりＴＨＥたまごサンド,サンドイッチ,388,,,,,,,,,
130,セブンイレブン,たまご＆ハムレタスサンド,サンドイッチ,307,,,,,,,,,
131,セブンイレブン,レタス増量シャキシャキレタスサンド,サンドイッチ,276,,,,,,,,,
132,セブンイレブン,ミックスサンド,サンドイッチ,306,,,,,,,,,
133,セブンイレブン,カラーチョコ＆ホイップ,サンドイッチ,274,,,,,,,,,
134,セブンイレブン,ちごサンド,サンドイッチ,294,,,,,,,,,
135,セブンイレブン,ホットドッグ,サンドイッチ,264,,,,,,,,,
136,セブンイレブン,ソーセージエッグマフィン,サンドイッチ,356,,,,,,,,,
137,セブンイレブン,たんぱく質が摂れるチキンロール,サンドイッチ,261,,,,,,,,,
138,セブンイレブン,ブリトー濃厚クワトロチーズ,サンドイッチ,286,,,,,,,,,
139,セブンイレブン,ブリトーチーズ倍盛りハム＆チーズ,サンドイッチ,441,,,,,,,,,
140,セブンイレブン,ブリトーウインナー２本入りホワイトボロネーゼ,サンドイッチ,328,,,,,,,,,
141,セブンイレブン,ブリトーモッツァレラ　とトマトのマルゲリ－タ,サンドイッチ,281,,,,,,,,,
142,セブンイレブン,ブリトーハム＆チーズ,サンドイッチ,271,,,,,,,,,
143,セブンイレブン,ランチパック深煎りピーナッツ,パン,183,,,,,,,,,
144,セブンイレブン,チョコクリームのふわもちちぎりパン,パン,369,,,,,,,,,
145,セブンイレブン,粗挽きポークフランク粒マスタードマヨ使用,パン,401,,,,,,,,,
146,セブンイレブン,さっぱりタルタルソースのフィッシュバーガー,パン,504,,,,,,,,,
147,セブンイレブン,金の食パン　　４枚入,パン,261,,,,,,,,,
148,セブンイレブン,金の食パン　　２枚入,パン,261,,,,,,,,,
149,セブンイレブン,レーズン食パン　２枚入,パン,161,,,,,,,,,
150,セブンイレブン,スティックメロンパン,パン,78,,,,,,,,,
151,セブンイレブン,発酵バタースティックレーズン４本入,パン,109,,,,,,,,,
152,セブンイレブン,しみしみフレンチトースト　２個入,パン,147,,,,,,,,,
153,セブンイレブン,アップルパイ　３個入,パン,158,,,,,,,,,
154,セブンイレブン,クリームパン　３個入,パン,177,,,,,,,,,
155,セブンイレブン,つぶあんパン　３個入,パン,172,,,,,,,,,
156,セブンイレブン,ふわもちチョコチップスティック６本入,パン,91,,,,,,,,,
157,セブンイレブン,スティックチュロッキー　４個入,パン,152,,,,,,,,,
158,セブンイレブン,つぶつぶコーンマヨネーズ,パン,333,,,,,,,,,
159,セブンイレブン,パリッと食感の　ウインナーパン,パン,319,,,,,,,,,
160,セブンイレブン,パリッと食感の　ウインナーパン,パン,275,,,,,,,,,
161,セブンイレブン,ミックスピザパン,パン,239,,,,,,,,,
162,セブンイレブン,コッペパン　たまご,パン,355,,,,,,,,,
163,セブンイレブン,コッペパン　ツナマヨネーズ,パン,285,,,,,,,,,
164,セブンイレブン,ソース焼きそばパン,パン,255,,,,,,,,,
165,ローソン,肉厚！贅沢デミグラスハンバーグ,惣菜,451,,,,,,,,,
166,ローソン,肉厚！贅沢和風ハンバーグ,惣菜,393,,,,,,,,,
167,ローソン,重慶飯店監修　大海老のチリソース,惣菜,150,,,,,,,,,
168,ローソン,重慶飯店監修　大海老のマヨソース,惣菜,212,,,,,,,,,
169,ローソン,重慶飯店監修 　四川風麻婆豆腐,惣菜,210,,,,,,,,,
170,ローソン,なすび亭監修　豚の角煮,惣菜,277,,,,,,,,,
171,ローソン,肉卸小島監修　牛すじ煮込み,惣菜,248,,,,,,,,,
172,ローソン,肉卸小島監修　牛すじカレー,惣菜,238,,,,,,,,,
173,ローソン,オーベルジーヌ監修　欧風チキンカレー,惣菜,236,,,,,,,,,
174,ローソン,GARAKU監修　札幌スープカレー,惣菜,202,,,,,,,,,
175,ローソン,グリルグランド監修 ビーフシチュー,惣菜,374,,,,,,,,,
176,ローソン,厳選洋食さくらい監修　牛タンシチュー,惣菜,221,,,,,,,,,
177,ローソン,本格！ビーフカレー,惣菜,314,,,,,,,,,
178,ローソン,肉厚！ビーフハンバーグ,惣菜,455,,,,,,,,,
179,ローソン,温めて食べる　ミートソースのポテトサラダ,惣菜,154,,,,,,,,,
180,ローソン,冷たいまま食べる　チキン南蛮,惣菜,290,,,,,,,,,
181,ローソン,ねぎだれで食べる　旨辛たまご,惣菜,164,,,,,,,,,
182,ローソン,ミートボール,惣菜,207,,,,,,,,,
183,ローソン,デミグラスハンバーグ,惣菜,173,,,,,,,,,
184,ローソン,チーズ入りハンバーグ,惣菜,172,,,,,,,,,
185,ローソン,国産鶏と国産豚の黒酢たれ肉団子,惣菜,327,,,,,,,,,
186,ローソン,豚肉と北海道産男爵の肉じゃが,惣菜,206,,,,,,,,,
187,ローソン,牛肉と北海道産男爵ののくじゃが,惣菜,183,,,,,,,,,
188,ローソン,豚汁,惣菜,113,,,,,,,,,
189,ローソン,すき焼き,惣菜,217,,,,,,,,,
190,ローソン,キムチチゲ,惣菜,159,,,,,,,,,
191,ローソン,鶏肉のガーリックトマト煮,惣菜,240,,,,,,,,,
192,ローソン,一食分の野菜が摂れる　チキンのトマトチーズ煮,惣菜,220,,,,,,,,,
193,ローソン,ロールキャベツ,惣菜,112,,,,,,,,,
194,ローソン,煮込みハンバーグ,惣菜,225,,,,,,,,,
195,ローソン,ジャーマンポテト,惣菜,272,,,,,,,,,
196,ローソン,一食分の野菜が摂れる　八宝菜,惣菜,134,,,,,,,,,
197,ローソン,豚の生姜焼,惣菜,279,,,,,,,,,
198,ローソン,よだれ鶏,惣菜,182,,,,,,,,,
199,ローソン,肉豆腐,惣菜,256,,,,,,,,,
200,ローソン,豚もつ煮込,惣菜,198,,,,,,,,,
201,ローソン,イカと里芋の煮物,惣菜,85,,,,,,,,,
202,ローソン,さばの味噌煮,惣菜,293,,,,,,,,,
203,ローソン,さばの塩焼,惣菜,226,,,,,,,,,
204,ローソン,銀鮭の塩焼,惣菜,135,,,,,,,,,
205,ローソン,ほっけの塩焼,惣菜,106,,,,,,,,,
206,ローソン,子持ちしゃも,惣菜,88,,,,,,,,,
207,ローソン,焼餃子,惣菜,320,,,,,,,,,
208,ローソン,肉焼売,惣菜,324,,,,,,,,,
209,ローソン,ガーリック香る砂肝焼,惣菜,76,,,,,,,,,
210,ローソン,ごま油香る鶏ハツ焼,惣菜,81,,,,,,,,,
211,ローソン,直火焼鳥　もも塩＆やげん軟骨,惣菜,125,,,,,,,,,
212,ローソン,鶏なんこつのから揚げ,惣菜,283,,,,,,,,,
213,ローソン,ジャークチキン,惣菜,126,,,,,,,,,
214,ローソン,あらびきチョリソー,惣菜,328,,,,,,,,,
215,ローソン,玉こんにゃく,惣菜,48,,,,,,,,,
216,ローソン,うずらの卵,惣菜,145,,,,,,,,,
217,ローソン,ひじき煮,惣菜,49,,,,,,,,,
218,ローソン,きんぴらごぼう,惣菜,69,,,,,,,,,
219,ローソン,ごぼうこんにゃく,惣菜,29,,,,,,,,,
220,ローソン,切干大根,惣菜,39,,,,,,,,,
221,ローソン,五目白和え,惣菜,74,,,,,,,,,
222,ローソン,たけのこ土佐煮,惣菜,19,,,,,,,,,
223,ローソン,穂先メンマ,惣菜,34,,,,,,,,,
224,ローソン,太切りメンマ,惣菜,45,,,,,,,,,
225,ローソン,国産ジャガイモのポテトサラダ,惣菜,166,,,,,,,,,
226,ローソン,国産ジャガイモのベーコンポテトサラダ,惣菜,129,,,,,,,,,
227,ローソン,国産ジャガイモの明太ポテトサラダ,惣菜,126,,,,,,,,,
228,ローソン,国産カボチャのサラダ,惣菜,83,,,,,,,,,
229,ローソン,国産ごぼうのサラダ,惣菜,98,,,,,,,,,
230,ローソン,マカロニサラダ,惣菜,151,,,,,,,,,
231,ローソン,春雨サラダ,惣菜,90,,,,,,,,,
232,ローソン,塩ゆで枝豆,惣菜,111,,,,,,,,,
233,ローソン,海老入り茶碗蒸し,惣菜,56,,,,,,,,,
234,ローソン,切れてる厚焼玉子,惣菜,168,,,,,,,,,
235,ローソン,切れてるだし巻き玉子,惣菜,139,,,,,,,,,
236,ローソン,三陸産わかめ使用　わかめかきたまスープ,惣菜,72,,,,,,,,,
237,ローソン,食物繊維が摂れる　8種具材のポトフ,惣菜,150,,,,,,,,,
238,ローソン,食物繊維が摂れる鶏つくねの和風生姜スープ,惣菜,74,,,,,,,,,
239,ローソン,おにぎり浅草宿六監修　こだわり味噌の豚汁,惣菜,111,,,,,,,,,
240,ローソン,オマール海老のビスク,惣菜,85,,,,,,,,,
241,ローソン,完熟トマトのポタージュ,惣菜,68,,,,,,,,,
242,ローソン,四種のチーズ使用　海老グラタン,麺類,313,,,,,,,,,
243,ローソン,北海道生乳使用ゴーダチーズ海老ドリア,麺類,373,,,,,,,,,
244,ローソン,5種のチーズ使用　ハッシュドポテトグラタン,麺類,335,,,,,,,,,
245,ローソン,博多明太子使用　明太もちチーズグラタン,麺類,325,,,,,,,,,
246,ローソン,8層仕立て　ミートソースラザニア,麺類,313,,,,,,,,,
247,ローソン,明太唐揚げのり弁当,弁当,529,,,,,,,,,
248,ローソン,おかずいろいろ幕の内,弁当,573,,,,,,,,,
249,ローソン,おにぎり弁当,弁当,496,,,,,,,,,
250,ローソン,筍ごはん弁当,弁当,423,,,,,,,,,
251,ローソン,明太唐揚げのり弁当,弁当,538,,,,,,,,,
252,ローソン,鶏そぼろ弁当,弁当,341,,,,,,,,,
253,ローソン,あじほぐし弁当,弁当,310,,,,,,,,,
254,ローソン,おかずトン！タルタルチキンカツ弁当,弁当,864,,,,,,,,,
255,ローソン,無限！焼とうもろこし,サラダ,118,,,,,,,,,
256,ローソン,振っておいしいパスタサラダ　担々麺風,サラダ,277,,,,,,,,,
257,ローソン,塩昆布きゅうり,サラダ,36,,,,,,,,,
258,ローソン,コールスローサラダ,サラダ,154,,,,,,,,,
259,ローソン,ペッパーマカロニサラダ,サラダ,272,,,,,,,,,
260,ローソン,海老とブロッコリーのサラダ,サラダ,157,,,,,,,,,
261,ローソン,海老といかの明太子サラダ,サラダ,189,,,,,,,,,
262,ローソン,蒸し鶏とザーサイのサラダ,サラダ,101,,,,,,,,,
263,ローソン,中華風春雨サラダ,サラダ,134,,,,,,,,,
264,ローソン,食物繊維が摂れる　オクラとなめこのネバネバサラダ,サラダ,52,,,,,,,,,
265,ローソン,食物繊維が摂れる　豆腐とひじきの和風サラダ,サラダ,95,,,,,,,,,
266,ローソン,三陸産わかめ使用　大根とわかめのサラダ,サラダ,22,,,,,,,,,
267,ローソン,コーンサラダ,サラダ,46,,,,,,,,,
268,ローソン,シーチキン?＆コーンサラダ,サラダ,68,,,,,,,,,
269,ローソン,玉ねぎサラダ,サラダ,26,,,,,,,,,
270,ローソン,ローストチキンのサラダ,サラダ,65,,,,,,,,,
271,ローソン,ピリ辛味噌だれで食べる　野菜スティック,サラダ,101,,,,,,,,,
272,ローソン,三陸産わかめ使用　チョレギサラダ,サラダ,83,,,,,,,,,
273,ローソン,たんぱく質が摂れる　国産鶏むね肉のサラダ,サラダ,206,,,,,,,,,
274,ローソン,たんぱく質が摂れる　国産豚肉のサラダ,サラダ,284,,,,,,,,,
275,ローソン,振っておいしいパスタサラダ　豚しゃぶ,サラダ,340,,,,,,,,,
276,ローソン,振っておいしいパスタサラダ　甘辛唐揚マヨ,サラダ,347,,,,,,,,,
277,ローソン,振っておいしいパスタサラダ　海老明太子,サラダ,254,,,,,,,,,
278,ローソン,ミックスサラダ,サラダ,21,,,,,,,,,
279,ローソン,コーンミックスサラダ,サラダ,38,,,,,,,,,
280,ローソン,大根ミックスサラダ,サラダ,16,,,,,,,,,
281,ローソン,レタスミックスサラダ,サラダ,14,,,,,,,,,
282,ローソン,サラダチキン,サラダ,141,,,,,,,,,
283,ローソン,サラダチキン　梅しそ,サラダ,130,,,,,,,,,
284,ローソン,サラダチキン　ハーブ,サラダ,119,,,,,,,,,
285,ローソン,サラダチキン　スモーク,サラダ,120,,,,,,,,,
286,ローソン,振っておいしいパスタサラダ　ビビンパ風(もち麦パスタ使用),サラダ,254,,,,,,,,,
287,ローソン,ソースたっぷり生パスタ　カルボナーラ,麺類,607,,,,,,,,,
288,ローソン,ソースたっぷり生パスタ　明太カルボナーラ,麺類,584,,,,,,,,,
289,ローソン,こだわりおだし　醤油きのこ,麺類,503,,,,,,,,,
290,ローソン,こだわりおだしの生パスタ　あさりと九条ねぎ,麺類,426,,,,,,,,,
291,ローソン,バター香る　北海道産たらこ,麺類,445,,,,,,,,,
292,ローソン,ナポリタン,麺類,549,,,,,,,,,
293,ローソン,大盛ミートソース,麺類,725,,,,,,,,,
294,ローソン,大盛トマトガーリック,麺類,743,,,,,,,,,
295,ローソン,大盛ペペロンチーノ,麺類,849,,,,,,,,,
296,ローソン,大盛塩焼そば,麺類,624,,,,,,,,,
297,ローソン,ざるそば,麺類,356,,,,,,,,,
298,ローソン,冷しそば＆いなり,麺類,459,,,,,,,,,
299,ローソン,冷しとろろそば,麺類,316,,,,,,,,,
300,ローソン,大盛ぶっかけそば,麺類,515,,,,,,,,,
301,ローソン,ミニネバネバそば,麺類,179,,,,,,,,,
302,ローソン,野菜かき揚げそば,麺類,512,,,,,,,,,
303,ローソン,温・冷　気分で選べる！明太釜玉風うどん,麺類,532,,,,,,,,,
304,ローソン,満腹濃厚豚ラーメン,麺類,795,,,,,,,,,
305,ローソン,天下一品監修　こってりラーメン,麺類,453,,,,,,,,,
306,ローソン,冷し中華,麺類,474,,,,,,,,,
307,ローソン,ミニ冷し中華,麺類,262,,,,,,,,,
308,ローソン,盛岡風冷麺,麺類,334,,,,,,,,,
309,ローソン,1食分の野菜ちゃんぽん,麺類,311,,,,,,,,,
310,ローソン,大盛ソース焼そば,麺類,711,,,,,,,,,
311,ローソン,大盛塩焼そば,麺類,642,,,,,,,,,
312,ローソン,1/2日分の野菜が摂れる　あんかけ焼そば,麺類,362,,,,,,,,,
